;Fecha;Sum_uxt_motivos_2;Sum_uxt_motivos_3;Sum_uxt_motivos_4;#uxt_motivos_2;#uxt_motivos_3;#uxt_motivos_4;uxt_mensual;disp_p;disp_f;disp_final
32;2015-09-01;12086.0;30296.0;955.0;4;15;2;10550880.000000002;0.9959830838754682;0.9999094862229502;0.9991242057534537
33;2015-10-01;8427.0;16349.0;6197.0;7;13;5;10902576.000000002;0.9977275095353612;0.9994316022195121;0.9990907836826819
34;2015-11-01;3197.0;26302.0;2671.0;3;21;6;10550880.000000002;0.9972041194668122;0.9997468457607328;0.9992383005019487
35;2015-12-01;18075.0;16356.0;248.0;8;14;2;10902576.000000002;0.9968419390059744;0.9999772530822073;0.9993501902669608
36;2016-01-01;4043.0;4642.0;5303.0;6;11;12;10902576.000000002;0.9992033992700441;0.9995136011892969;0.9994515608054464
37;2016-02-01;2564.0;14118.0;22038.0;3;10;12;10199184.000000002;0.9983643789542379;0.9978392389038182;0.9979442669139021
38;2016-03-01;2017.0;28118.0;1694.0;6;23;3;10902576.000000002;0.9972359743238662;0.9998446238760454;0.9993228939656097
39;2016-04-01;1360.0;24816.0;2635.0;9;19;7;10550880.000000002;0.9975190694994162;0.9997502577984017;0.9993040201386046
40;2016-05-01;1549.0;29345.0;627.0;5;24;3;10902576.000000002;0.9971663577488477;0.9999424906554194;0.999387264074105
41;2016-06-01;4496.0;10861.0;361.0;6;13;4;10550880.000000002;0.9985444815977436;0.999965784844487;0.9996815241951383
42;2016-07-01;4389.0;14853.0;6394.0;14;19;4;10902576.000000002;0.9982350959993308;0.9994135330952978;0.9991778456761045
43;2016-08-01;21532.0;29241.0;1271.0;25;20;2;10902576.000000002;0.9953430271891707;0.9998834220463128;0.9989753430748843
44;2016-09-01;8542.0;32231.0;1488.0;7;31;9;10550880.000000002;0.996135583003503;0.9998589691096856;0.9991142918884491
45;2016-10-01;12084.0;26372.0;431.0;13;22;3;10902576.000000002;0.9964727601990575;0.999960468058191;0.9992629264863644
46;2016-11-01;1921.0;37782.0;4081.0;8;19;8;10550880.000000002;0.9962369963453286;0.999613207618701;0.9989379653640266
47;2016-12-01;19444.0;13596.0;10239.0;4;18;12;10902576.000000002;0.9969695235327871;0.9990608641480693;0.9986425960250129
48;2017-01-01;12429.0;3535.0;2473.0;17;6;6;10902576.000000002;0.9985357588885416;0.9997731728721726;0.9995256900754464
49;2017-02-01;4151.0;9103.0;2221.0;9;7;2;9847488.000000002;0.9986540729981087;0.9997744602481364;0.9995503827981309
50;2017-03-01;1226.0;28646.0;8200.0;4;24;3;10902576.000000002;0.9972600970632995;0.9992478841697595;0.9988503267484675
51;2017-04-01;1825.0;12711.0;1953.0;5;14;2;10550880.000000002;0.9986222950123591;0.9998148969564624;0.9995763765676418
52;2017-05-01;1266.0;25222.0;302.0;4;26;3;10902576.000000002;0.9975704824254378;0.9999723001243009;0.9994919365845284
53;2017-06-01;1172.0;9941.0;119.0;2;13;2;10550880.000000002;0.9989467229273766;0.9999887213199278;0.9997803216414176
54;2017-07-01;3545.0;9821.0;890.0;7;11;4;10902576.000000002;0.998774051196708;0.9999183679159861;0.9996895045721306
55;2017-08-01;5517.0;11111.0;6457.0;13;11;16;10902576.000000002;0.9984748558505806;0.999407754644407;0.9992211748856418
56;2017-09-01;2137.0;24077.0;6352.0;6;29;5;10550880.000000002;0.997515467904099;0.9993979649090882;0.9990214655080905
57;2017-10-01;122.0;26056.0;2144.0;3;17;11;10902576.000000002;0.9975989160726786;0.9998033492268249;0.9993624625959956
58;2017-11-01;655.0;30665.0;2026.0;5;26;6;10550880.000000002;0.9970315272280605;0.9998079781023005;0.9992526879274526
59;2017-12-01;2131.0;24274.0;1587.0;4;15;12;10902576.000000002;0.9975780953051829;0.9998544380704156;0.9993991695173692
60;2018-01-01;1551.0;213.0;30.0;3;1;1;10902576.000000002;0.9998382033750556;0.9999972483567187;0.9999654393603862
61;2018-02-01;2160.0;1974.0;27.0;3;3;2;9847488.000000002;0.9995801975082377;0.9999972581840161;0.9999138460488604
62;2018-03-01;5859.0;11442.0;575.0;12;11;3;10902576.000000002;0.9984131273196353;0.9999472601704404;0.9996404336002795
63;2018-04-01;1518.0;46011.0;1041.0;5;33;3;10550880.000000002;0.9954952572676402;0.9999013352440744;0.9990201196487876
64;2018-05-01;1707.0;15444.0;358.0;6;21;2;10902576.000000002;0.9984268855360421;0.999967163723509;0.9996591080860158
65;2018-06-01;4374.0;19304.0;918.0;5;19;5;10550880.000000002;0.9977558270021079;0.9999129930394431;0.9994815598319762
66;2018-07-01;2053.0;25631.0;31.0;5;24;1;10902576.000000002;0.9974607835799539;0.9999971566352759;0.9994898820242115
67;2018-08-01;6001.0;27888.0;78.0;12;17;4;10902576.000000002;0.9968916520279244;0.9999928457274685;0.9993726069875597
68;2018-09-01;3298.0;33220.0;1941.0;5;21;9;10550880.000000002;0.9965388669002017;0.999816034302352;0.999160600821922
69;2018-10-01;375.0;47007.0;293.0;2;27;2;10902576.000000002;0.995654054601408;0.9999731256172854;0.99910931141411
70;2018-11-01;870.0;11816.0;461.0;5;15;5;10550880.000000002;0.9987976358370108;0.9999563069620733;0.9997245727370608
71;2018-12-01;1531.0;22724.0;276.0;3;23;10;10902576.000000002;0.9977752964070142;0.9999746848818114;0.999534807186852
72;2019-01-01;4639.0;15156.0;874.0;7;17;2;10902576.000000002;0.998184374041511;0.9999198354590695;0.9995727431755578
73;2019-02-01;0.0;23421.0;4681.0;0;25;7;9847488.000000002;0.9976216269570474;0.9995246503473779;0.9991440456693119
74;2019-03-01;3974.0;51690.0;0.0;4;40;0;10902576.000000002;0.9948944176128651;1.0;0.998978883522573
75;2019-04-01;67594.0;66003.0;90.0;8;42;4;10550880.000000002;0.9873378334319033;0.9999914699058278;0.9974607426110429
76;2019-05-01;151320.0;54512.0;101.0;7;31;2;10902576.000000002;0.9811207920036512;0.999990736134286;0.9962167473081591
77;2019-06-01;0.0;0.0;7458.0;0;0;3;10550880.000000002;1.0;0.9992931395295938;0.9994345116236751
78;2019-07-01;20740.0;23931.0;0.0;11;22;0;10902576.000000002;0.9959027114326009;1.0;0.9991805422865202
79;2019-08-01;6590.0;43179.0;2685.0;4;27;3;10902576.000000002;0.9954351155176538;0.9997537279263176;0.9988900054445848
80;2019-09-01;10564.0;40533.0;578.0;8;25;3;10550880.000000002;0.995157086423123;0.9999452178396494;0.9989875915563442
81;2019-10-01;2184.0;47611.0;1529.0;4;7;2;10902576.000000002;0.9954327307601433;0.999859757914093;0.9989743524833031
82;2019-11-01;1010.0;70054.0;1614.0;3;21;5;10550880.000000002;0.9932646376415996;0.9998470269778446;0.9985305491105956
83;2019-12-01;3987.0;41116.0;5728.0;9;17;9;10902576.000000002;0.9958630877693492;0.9994746195761443;0.9987523132147853
84;2020-01-01;12165.0;20170.0;13616.0;23;21;5;10902576.000000002;0.9970341871498992;0.9987511208360299;0.9984077340988039
85;2020-02-01;2753.0;49600.0;1428.0;4;24;7;10199184.000000002;0.9948669422965601;0.999859988799104;0.9988613794985952
86;2020-03-01;0.0;21280.0;281.0;0;13;1;10902576.000000002;0.9980481676990832;0.9999742262745979;0.999589014559495
87;2020-04-01;0.0;835.0;0.0;0;1;0;10550880.000000002;0.9999208596818464;1.0;0.9999841719363693
88;2020-05-01;0.0;3009.0;67.0;0;4;3;10902576.000000002;0.9997240101788788;0.9999938546633382;0.9999398857664464
89;2020-06-01;0.0;7782.0;404.0;0;9;2;10550880.000000002;0.9992624311905737;0.999961709355049;0.9998218537221539
90;2020-07-01;0.0;15112.0;3633.0;0;12;1;10902576.000000002;0.9986139055577324;0.9996667759986264;0.9994562019104477
91;2020-08-01;288.0;29298.0;410.0;1;21;3;10902576.000000002;0.9972863293959152;0.999962394208488;0.9994271812459734
